Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
df_x_too_small;newton_raphson.hpp;53;0.7074718475341797;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.4725015163421631;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.4799768924713135;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.0028204917907715;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.3720066547393799;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;0.6045651435852051;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;1.2205612659454346;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.1265978813171387;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.170365333557129;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.3130722045898438;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.4725162982940674;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.5159151554107666;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.6964983940124512;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.1345160007476807;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.1376709938049316;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.3851666450500488;0-6;Random bit-flip;0
delta;newton_raphson.hpp;46;1.0084574222564697;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.7102804183959961;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.3486549854278564;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.8899960517883301;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.9004855155944824;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.7856431007385254;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.301713228225708;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.8367202281951904;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.5200996398925781;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.3369884490966797;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.215385913848877;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;0.650813102722168;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.1863584518432617;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.1176261901855469;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.302506923675537;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.6785004138946533;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.153270959854126;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.219576358795166;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.9209549427032471;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.221583366394043;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;0.6548879146575928;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.4624314308166504;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.203984022140503;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.7394413948059082;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;0.7282614707946777;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.5356650352478027;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.63694167137146;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.248671054840088;0-6;Random bit-flip;0
x;newton_raphson.cpp;10;0.4819800853729248;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.1906359195709229;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.9110374450683594;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.4426803588867188;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.713050127029419;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.8563520908355713;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.5251355171203613;0-6;Random bit-flip;0
